DiskRead	DiskWrite	IORead	IOWrite	TpsRead	TpsWirte	DiskUtil	NetRead	NetWrite	Tot	Tcp	Udp	Raw	Frg	
   0   328000    0  5.00     0     5     0:   0  272B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  342B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  888B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  256B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:   0  120B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1975B    0  973   5   5   0   0
   0   240000    0  3.00     0     3     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   82B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  212B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0 2018B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1577B    0  973   5   5   0   0
   0   276000    0  4.00     0     4     0:   0   92B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1965B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  212B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  455B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  620B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0  234B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1008B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:0.40 1968B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1217B  155B 973   5   5   0   0
   0     0     0     0     0     0     0:   0 2061B    0  973   5   5   0   0
   0   344000    0  6.00     0     6     0:   0  304B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  156B    0  973   5   5   0   0
   0    44000    0  2.00     0     2     0:   0  494B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  540B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1128B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0   256000    0  7.00     0     7     0:   0  402B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0 3819B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  272B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  342B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0   276000    0  4.00     0     4     0:   0   92B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  796B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  228B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1823B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  152B    0  973   5   5   0   0
   0   252000    0  4.00     0     4     0:   0 2138B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  538B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  174B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  888B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   82B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0   292000    0  6.00     0     6     0:   0 2403B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  352B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  420B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1986B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0 1318B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0  336B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   43000  169B 973   5   5   0   0
   0     0     0     0     0     0     0:   0 2121B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  798B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:0.40  686B    0  973   5   5   0   0
   0   276000    0  4.00     0     4     0:   0  180B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  434B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1008B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2046B    0  973   5   5   0   0
   0    56000    0  2.00     0     2     0:   0  674B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2155B    0  973   5   5   0   0
   0   324000    0  13.0     0    13     0:   0  358B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  489B  152B 973   5   5   0   0
   0     0     0     0     0     0     0:   0  456B    0  973   5   5   0   0
   0    24000    0  2.00     0     2     0:   0  300B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1008B    0  973   5   5   0   0
   0   236000    0  3.00     0     3     0:   0   92B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  240B   84B 973   5   5   0   0
   0     0     0     0     0     0     0:   0 3759B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  392B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0    0     0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0   92B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  450B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  796B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B    0  973   5   5   0   0
   0   304000    0  4.00     0     4     0:   0 1883B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  304B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2850B    0  973   5   5   0   0
   0    36000    0  2.00     0     2     0:   0  354B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  152B    0  973   5   5   0   0
   0   248000    0  6.00     0     6     0:   0  948B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  734B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  622B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0 2575B   87B 973   5   5   0   0
   0     0     0     0     0     0     0:   0  882B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0   27000  107B 973   5   5   0   0
   0     0     0     0     0     0     0:   0  152B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 2388B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1068B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  212B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   60B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0 1997B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  234B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   60B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  288B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  152B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0  938B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 1936B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  212B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0 1883B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  332B    0  973   5   5   0   0
   0   232000    0  2.00     0     2     0:   0  450B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   54000  322B 973   5   5   0   0
   0     0     0     0     0     0     0:   0  152B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  888B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  120B    0  973   5   5   0   0
   0   280000    0  4.00     0     4     0:   0   92B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0 4715B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0  120B    0  973   5   5   0   0
   0    20000    0  2.00     0     2     0:   0  420B    0  973   5   5   0   0
   0     0     0     0     0     0     0:   0   92B   54B 973   5   5   0   0
   0   236000    0  2.00     0     2     0:   0  342B    0  973   5   5   0   0
